"MaterialSampleID","MaterialSample.ID..EMOBON.","Sequence_batch","Code","PCR_negative_control_Code_1","PCR_negative_control_Code_2","Number_of_sequences","Sequencing.batch","ENA","Control.1.Forward.file","Control.1.Reverse.file","Control.2.Forward.file","Control.2.Reverse.file","Forward.file","Reverse.file"
"ARMS_Koster_VH1_20210608_20220608_MF100_s1_r1","EMOBON_Koster_VH1_Ha_210608_220608_MF100_1","Batch3.1","DBQ_AAIEOSTA_1_HLLHNDRX3.UDI085-BID17","CEB_DET","CEB_DEU","3763074","240220_JARVIS_HLLHNDRX3","none","CEB_DETOSTA_1_1_HLLHNDRX3.UDI014-BID18.fastq","CEB_DETOSTA_1_2_HLLHNDRX3.UDI014-BID18.fastq","CEB_DEUOSTA_1_1_HLLHNDRX3.UDI002-BID18.fastq","CEB_DEUOSTA_1_2_HLLHNDRX3.UDI002-BID18.fastq","DBQ_AAIEOSTA_1_1_HLLHNDRX3.UDI085-BID17_clean.fastq","DBQ_AAIEOSTA_1_2_HLLHNDRX3.UDI085-BID17_clean.fastq"
"ARMS_Koster_VH1_20210608_20220608_MF100_s2_r1","EMOBON_Koster_VH1_Ha_210608_220608_MF100_2","Batch3.1","DBQ_AAIFOSTA_2_HW5CMDRX3.UDI050-BID17","CEB_DET","CEB_DEU","4027764","240313_JARVIS_HW5CMDRX3","none","CEB_DETOSTA_1_1_HLLHNDRX3.UDI014-BID18.fastq","CEB_DETOSTA_1_2_HLLHNDRX3.UDI014-BID18.fastq","CEB_DEUOSTA_1_1_HLLHNDRX3.UDI002-BID18.fastq","CEB_DEUOSTA_1_2_HLLHNDRX3.UDI002-BID18.fastq","DBQ_AAIFOSTA_2_1_HW5CMDRX3.UDI050-BID17_clean.fastq","DBQ_AAIFOSTA_2_2_HW5CMDRX3.UDI050-BID17_clean.fastq"
"ARMS_Koster_VH1_20210608_20220608_MF500_s1_r1","EMOBON_Koster_VH1_Ha_210608_220608_MF500_1","Batch3.1","DBQ_AAIGOSTA_2_HW5CMDRX3.UDI062-BID17","CEB_DET","CEB_DEU","3102591","240313_JARVIS_HW5CMDRX3","none","CEB_DETOSTA_1_1_HLLHNDRX3.UDI014-BID18.fastq","CEB_DETOSTA_1_2_HLLHNDRX3.UDI014-BID18.fastq","CEB_DEUOSTA_1_1_HLLHNDRX3.UDI002-BID18.fastq","CEB_DEUOSTA_1_2_HLLHNDRX3.UDI002-BID18.fastq","DBQ_AAIGOSTA_2_1_HW5CMDRX3.UDI062-BID17_clean.fastq","DBQ_AAIGOSTA_2_2_HW5CMDRX3.UDI062-BID17_clean.fastq"
"ARMS_Koster_VH1_20210608_20220608_MF500_s2_r1","EMOBON_Koster_VH1_Ha_210608_220608_MF500_2","Batch3.1","DBQ_AAIMOSTA_1_HLLHNDRX3.UDI073-BID08, DBQ_AAIMOSTA_2_H3KVNDRX5.UDI010-BID08","CEB_DEV","CEB_DEW","8798543","240220_JARVIS_HLLHNDRX3","none","CEB_DEVOSTA_1_1_HLLHNDRX3.UDI085-BID09.fastq","CEB_DEVOSTA_1_2_HLLHNDRX3.UDI085-BID09.fastq","CEB_DEWOSTA_1_1_HLLHNDRX3.UDI073-BID11.fastq","CEB_DEWOSTA_1_2_HLLHNDRX3.UDI073-BID11.fastq","DBQ_AAIMOSTA_1_1_HLLHNDRX3.UDI073-BID08_clean.fastq","DBQ_AAIMOSTA_1_2_HLLHNDRX3.UDI073-BID08_clean.fastq"
"ARMS_Koster_VH1_20210608_20220608_SF40_s1_r1","EMOBON_Koster_VH1_Ha_210608_220608_SF40_1","Batch3.1","DBQ_AAICOSTA_1_HLLHNDRX3.UDI073-BID17","CEB_DET","CEB_DEU","2279764","240220_JARVIS_HLLHNDRX3","none","CEB_DETOSTA_1_1_HLLHNDRX3.UDI014-BID18.fastq","CEB_DETOSTA_1_2_HLLHNDRX3.UDI014-BID18.fastq","CEB_DEUOSTA_1_1_HLLHNDRX3.UDI002-BID18.fastq","CEB_DEUOSTA_1_2_HLLHNDRX3.UDI002-BID18.fastq","DBQ_AAICOSTA_1_1_HLLHNDRX3.UDI073-BID17_clean.fastq","DBQ_AAICOSTA_1_2_HLLHNDRX3.UDI073-BID17_clean.fastq"
"ARMS_Koster_VH1_20210608_20220608_SF40_s2_r1","EMOBON_Koster_VH1_Ha_210608_220608_SF40_2","Batch3.1","DBQ_AAIDOSTA_1_HLLHNDRX3.UDI002-BID17","CEB_DET","CEB_DEU","3025017","240220_JARVIS_HLLHNDRX3","none","CEB_DETOSTA_1_1_HLLHNDRX3.UDI014-BID18.fastq","CEB_DETOSTA_1_2_HLLHNDRX3.UDI014-BID18.fastq","CEB_DEUOSTA_1_1_HLLHNDRX3.UDI002-BID18.fastq","CEB_DEUOSTA_1_2_HLLHNDRX3.UDI002-BID18.fastq","DBQ_AAIDOSTA_1_1_HLLHNDRX3.UDI002-BID17_clean.fastq","DBQ_AAIDOSTA_1_2_HLLHNDRX3.UDI002-BID17_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_MF100_s1_r1","EMOBON_Koster_VH3_Ha_210608_220609_MF100_1","Batch3.1","DBQ_AAMMOSTA_1_H3L7NDRX5.UDI350-BID05","CEB_DFD","CEB_DFE","5121810","240409_JARVIS_H3L7NDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMMOSTA_1_1_H3L7NDRX5.UDI350-BID05_clean.fastq","DBQ_AAMMOSTA_1_2_H3L7NDRX5.UDI350-BID05_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_MF100_s2_r1","EMOBON_Koster_VH3_Ha_210608_220609_MF100_2","Batch3.1","DBQ_AAMNOSTA_1_H3L7NDRX5.UDI362-BID05","CEB_DFD","CEB_DFE","4784836","240409_JARVIS_H3L7NDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMNOSTA_1_1_H3L7NDRX5.UDI362-BID05_clean.fastq","DBQ_AAMNOSTA_1_2_H3L7NDRX5.UDI362-BID05_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_MF500_s1_r1","EMOBON_Koster_VH3_Ha_210608_220609_MF500_1","Batch3.1","DBQ_AAMOOSTA_1_H3L7NDRX5.UDI374-BID05","CEB_DFD","CEB_DFE","4602205","240409_JARVIS_H3L7NDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMOOSTA_1_1_H3L7NDRX5.UDI374-BID05_clean.fastq","DBQ_AAMOOSTA_1_2_H3L7NDRX5.UDI374-BID05_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_MF500_s2_r1","EMOBON_Koster_VH3_Ha_210608_220609_MF500_2","Batch3.1","DBQ_AAMPOSTA_1_H3L7NDRX5.UDI291-BID05","CEB_DFD","CEB_DFE","5468416","240409_JARVIS_H3L7NDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMPOSTA_1_1_H3L7NDRX5.UDI291-BID05_clean.fastq","DBQ_AAMPOSTA_1_2_H3L7NDRX5.UDI291-BID05_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_SF40_s1_r1","EMOBON_Koster_VH3_Ha_210608_220609_SF40_1","Batch3.1","DBQ_AAMKOSTA_1_H3KVNDRX5.UDI326-BID05","CEB_DFD","CEB_DFE","4291716","240409_JARVIS_H3KVNDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMKOSTA_1_1_H3KVNDRX5.UDI326-BID05_clean.fastq","DBQ_AAMKOSTA_1_2_H3KVNDRX5.UDI326-BID05_clean.fastq"
"ARMS_Koster_VH3_20210608_20220609_SF40_s2_r1","EMOBON_Koster_VH3_Ha_210608_220609_SF40_2","Batch3.1","DBQ_AAMLOSTA_1_H3L7NDRX5.UDI338-BID05","CEB_DFD","CEB_DFE","4985792","240409_JARVIS_H3L7NDRX5","none","CEB_DFDOSTA_1_1_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFDOSTA_1_2_H3KVNDRX5.UDI326-BID18.fastq","CEB_DFEOSTA_1_1_H3KVNDRX5.UDI314-BID18.fastq","CEB_DFEOSTA_1_2_H3KVNDRX5.UDI314-BID18.fastq","DBQ_AAMLOSTA_1_1_H3L7NDRX5.UDI338-BID05_clean.fastq","DBQ_AAMLOSTA_1_2_H3L7NDRX5.UDI338-BID05_clean.fastq"
