"MaterialSampleID","MaterialSample.ID..EMOBON.","Sequence_batch","Code","PCR_negative_control_Code_1","PCR_negative_control_Code_2","Number_of_sequences"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_SF_1","Batch4","DBQ_ABBPOSTA_2_HJ2LFDRX5.UDI172-BID05","CEB_DKP","CEB_DKQ","2191581"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_SF_2","Batch4","DBQ_ABBQOSTA_2_HJ2LFDRX5.UDI172-BID08","CEB_DKP","CEB_DKQ","2419868"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_MF100_1","Batch4","DBQ_ABBROSTA_2_HJ2LFDRX5.UDI172-BID09","CEB_DKP","CEB_DKQ","2864678"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_MF100_2","Batch4","DBQ_ABBSOSTA_2_HJ2LFDRX5.UDI172-BID11","CEB_DKP","CEB_DKQ","1968324"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_MF500_1","Batch4","DBQ_ABBTOSTA_2_HJ2LFDRX5.UDI172-BID13","CEB_DKP","CEB_DKQ","5718791"
"N/A","EMOBON_Koster_VH1_Ha_220608_230817_MF500_2","Batch4","DBQ_ABBUOSTA_2_HJ2LFDRX5.UDI172-BID15","CEB_DKP","CEB_DKQ","1113858"
"N/A","EMOBON_Koster_VH3_Ha_220608_230817_blank","Batch4","DBQ_ABBVOSTA_2_HJ2LFDRX5.UDI172-BID16","CEB_DKP","CEB_DKQ","120378"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_SF_1","Batch4","DBQ_ABBWOSTA_2_HJ2LFDRX5.UDI172-BID17","CEB_DKP","CEB_DKQ","4259241"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_SF_2","Batch4","DBQ_ABBXOSTA_2_HJ2LFDRX5.UDI184-BID01","CEB_DKP","CEB_DKQ","5790454"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_MF100_1","Batch4","DBQ_ABBYOSTA_2_HJ2LFDRX5.UDI184-BID02","CEB_DKP","CEB_DKQ","1735426"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_MF100_2","Batch4","DBQ_ABBZOSTA_2_HJ2LFDRX5.UDI184-BID04","CEB_DKP","CEB_DKQ","1955086"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_MF500_1","Batch4","DBQ_ABCAOSTA_2_HJ2LFDRX5.UDI184-BID05","CEB_DKP","CEB_DKQ","3528558"
"N/A","EMOBON_Koster_VH2_Ha_220608_230817_MF500_2","Batch4","DBQ_ABCBOSTA_2_HJ2LFDRX5.UDI184-BID08","CEB_DKP","CEB_DKQ","2686109"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_SF_1","Batch4","DBQ_ABCCOSTA_2_HJ2LFDRX5.UDI184-BID09","CEB_DKP","CEB_DKQ","3911135"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_SF_2","Batch4","DBQ_ABCDOSTA_2_HJ2LFDRX5.UDI184-BID11","CEB_DKP","CEB_DKQ","2214308"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_MF100_1","Batch4","DBQ_ABCEOSTA_2_HJ2LFDRX5.UDI184-BID13","CEB_DKP","CEB_DKQ","6121818"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_MF100_2","Batch4","DBQ_ABGMOSTA_2_HJ2LFDRX5.UDI125-BID13","CEB_DLF","CEB_DLG","4676857"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_MF500_1","Batch4","DBQ_ABCGOSTA_2_HJ2LFDRX5.UDI184-BID16","CEB_DKP","CEB_DKQ","4653725"
"N/A","EMOBON_Koster_VH3_Ha_220609_230817_MF500_2","Batch4","DBQ_ABCHOSTA_2_HJ2LFDRX5.UDI101-BID01","CEB_DKP","CEB_DKQ","7088203"
